country_code,year,los_days,icha_hc,indic_he,unit
AT,2010,6.61,HC1,ALOS,NR
BE,2010,7.2,HC1,ALOS,NR
CH,2010,7.85,HC1,ALOS,NR
CY,2010,5.4,HC1,ALOS,NR
CZ,2010,6.57,HC1,ALOS,NR
DE,2010,8.1,HC1,ALOS,NR
EE,2010,5.5,HC1,ALOS,NR
EL,2010,5.3,HC1,ALOS,NR
ES,2010,6.37,HC1,ALOS,NR
FI,2010,7.0,HC1,ALOS,NR
FR,2010,5.82,HC1,ALOS,NR
HR,2010,7.16,HC1,ALOS,NR
HU,2010,5.84,HC1,ALOS,NR
IE,2010,6.0,HC1,ALOS,NR
IS,2010,5.36,HC1,ALOS,NR
IT,2010,6.74,HC1,ALOS,NR
LI,2010,6.06,HC1,ALOS,NR
LT,2010,7.11,HC1,ALOS,NR
LU,2010,7.55,HC1,ALOS,NR
LV,2010,6.15,HC1,ALOS,NR
MK,2010,6.22,HC1,ALOS,NR
MT,2010,5.0,HC1,ALOS,NR
NL,2010,5.6,HC1,ALOS,NR
NO,2010,6.3,HC1,ALOS,NR
PL,2010,7.3,HC1,ALOS,NR
PT,2010,8.58,HC1,ALOS,NR
RO,2010,6.48,HC1,ALOS,NR
RS,2010,8.2,HC1,ALOS,NR
SE,2010,5.78,HC1,ALOS,NR
SI,2010,5.45,HC1,ALOS,NR
SK,2010,6.6,HC1,ALOS,NR
TR,2010,4.04,HC1,ALOS,NR
UK,2010,6.06,HC1,ALOS,NR
AT,2011,6.55,HC1,ALOS,NR
BE,2011,7.1,HC1,ALOS,NR
CH,2011,7.69,HC1,ALOS,NR
CY,2011,5.3,HC1,ALOS,NR
CZ,2011,6.4,HC1,ALOS,NR
DE,2011,7.9,HC1,ALOS,NR
EE,2011,5.5,HC1,ALOS,NR
EL,2011,5.4,HC1,ALOS,NR
ES,2011,6.23,HC1,ALOS,NR
FI,2011,6.9,HC1,ALOS,NR
FR,2011,5.75,HC1,ALOS,NR
HR,2011,7.1,HC1,ALOS,NR
HU,2011,5.78,HC1,ALOS,NR
IE,2011,5.9,HC1,ALOS,NR
IS,2011,5.34,HC1,ALOS,NR
IT,2011,6.81,HC1,ALOS,NR
LI,2011,5.6,HC1,ALOS,NR
LT,2011,6.99,HC1,ALOS,NR
LU,2011,7.28,HC1,ALOS,NR
LV,2011,5.97,HC1,ALOS,NR
MK,2011,6.1,HC1,ALOS,NR
MT,2011,5.27,HC1,ALOS,NR
NL,2011,6.5,HC1,ALOS,NR
NO,2011,6.1,HC1,ALOS,NR
PL,2011,7.1,HC1,ALOS,NR
PT,2011,8.75,HC1,ALOS,NR
RO,2011,6.48,HC1,ALOS,NR
RS,2011,8.2,HC1,ALOS,NR
SE,2011,5.65,HC1,ALOS,NR
SI,2011,6.84,HC1,ALOS,NR
SK,2011,6.3,HC1,ALOS,NR
TR,2011,3.91,HC1,ALOS,NR
UK,2011,6.01,HC1,ALOS,NR
AT,2012,6.5,HC1,ALOS,NR
BE,2012,7.0,HC1,ALOS,NR
CH,2012,7.52,HC1,ALOS,NR
CY,2012,5.6,HC1,ALOS,NR
CZ,2012,6.16,HC1,ALOS,NR
DE,2012,7.8,HC1,ALOS,NR
EE,2012,5.6,HC1,ALOS,NR
EL,2012,5.2,HC1,ALOS,NR
